player_id,player_name,player_role,birth,height,foot,value,league,value_at,nat1,nat2
223068,Tana,Attacking Midfield,1990-09-20,1.69,left,0.18,SPA1,2015-06-30,Spain,-
199321,RubÃ©n Blanco,Goalkeeper,1995-07-25,1.88,right,2.7,SPA1,2018-06-30,Spain,-
297194,IvÃ¡n Villar,Goalkeeper,1997-07-09,1.89,right,0.27,SPA1,2018-06-30,Spain,-
64134,NÃ©stor Araujo,Centre-Back,1991-08-29,1.88,right,2.52,SPA1,2018-06-30,Mexico,-
164055,David JuncÃ ,Left-Back,1993-11-16,1.78,left,1.35,SPA1,2018-06-30,Spain,-
119905,Hugo Mallo,Right-Back,1991-06-22,1.74,right,10.8,SPA1,2018-06-30,Spain,-
192735,Stanislav Lobotka,Defensive Midfield,1994-11-25,1.72,both,13.5,SPA1,2018-06-30,Slovakia,-
207924,Jozabed SÃ¡nchez,Central Midfield,1991-03-08,1.8,right,1.8,SPA1,2018-06-30,Spain,-
309110,Brais MÃ©ndez,Right Winger,1997-01-07,1.83,left,3.15,SPA1,2018-06-30,Spain,-
167798,Andrew Hjulsager,Right Winger,1995-01-15,1.75,both,0.72,SPA1,2018-06-30,Denmark,-
396894,Maxi GÃ³mez,Centre-Forward,1996-08-14,1.86,right,22.5,SPA1,2018-06-30,Uruguay,-
61546,Facundo Roncaglia,Centre-Back,1987-02-10,1.79,right,2.7,SPA1,2018-06-30,Argentina,Italy
216240,Lucas Olaza,Left-Back,1994-07-21,1.76,left,2.25,SPA1,2018-06-30,Uruguay,-
181619,Robert Mazan,Left-Back,1994-02-09,1.8,left,0.72,SPA1,2018-06-30,Slovakia,-
221315,Kevin VÃ¡zquez,Right-Back,1993-03-23,1.75,right,0.27,SPA1,2018-06-30,Spain,-
137616,Okay Yokuslu,Defensive Midfield,1994-03-09,1.91,right,6.75,SPA1,2018-06-30,Turkey,-
423444,Fran BeltrÃ¡n,Central Midfield,1999-02-03,1.7,right,1.8,SPA1,2018-06-30,Spain,-
252641,Pione Sisto,Left Winger,1995-02-04,1.72,right,13.5,SPA1,2018-06-30,Denmark,SouthernSudan
283223,Emre Mor,Left Winger,1997-07-24,1.69,left,2.7,SPA1,2018-06-30,Turkey,Denmark
58818,Claudio Beauvue,Right Winger,1988-04-16,1.74,right,2.25,SPA1,2018-06-30,Guadeloupe,France
349873,Juan HernÃ¡ndez,Right Winger,1994-12-06,1.77,left,0.27,SPA1,2018-06-30,Spain,-
72047,Iago Aspas,Centre-Forward,1987-08-01,1.76,left,22.5,SPA1,2018-06-30,Spain,-
259930,Gabriel FernÃ¡ndez,Centre-Forward,1994-05-13,1.86,right,0.45,SPA1,2018-06-30,Uruguay,-
45912,Sergio Ãlvarez,Goalkeeper,1986-08-03,1.79,right,3.15,SPA1,2016-06-30,Spain,-
65237,Andreu FontÃ s,Centre-Back,1989-11-14,1.86,left,3.15,SPA1,2016-06-30,Spain,-
30677,Gustavo Cabral,Centre-Back,1985-10-14,1.83,both,2.7,SPA1,2016-06-30,Argentina,Spain
175446,Jonny Otto,Left-Back,1994-03-03,1.75,both,4.5,SPA1,2016-06-30,Spain,-
63463,Daniel Wass,Right-Back,1989-05-31,1.78,right,6.3,SPA1,2016-06-30,Denmark,-
230222,Ãlvaro Lemos,Right-Back,1993-03-30,1.75,right,0.18,SPA1,2016-06-30,Spain,-
83895,Marcelo DÃ­az,Defensive Midfield,1986-12-30,1.67,right,2.25,SPA1,2016-06-30,Chile,-
91763,Pablo HernÃ¡ndez,Central Midfield,1986-10-24,1.85,left,3.15,SPA1,2016-06-30,Chile,Argentina
336828,Pape Cheikh,Central Midfield,1997-08-08,1.8,right,0.45,SPA1,2016-06-30,Spain,Senegal
280701,Theo Bongonda,Left Winger,1995-11-20,1.77,left,2.25,SPA1,2016-06-30,Belgium,DRCongo
291247,Dejan Drazic,Left Winger,1995-09-26,1.78,right,0.72,SPA1,2016-06-30,Serbia,-
60890,FabiÃ¡n Orellana,Right Winger,1986-01-27,1.71,right,3.6,SPA1,2016-06-30,Chile,-
98596,John Guidetti,Centre-Forward,1992-04-15,1.85,right,4.5,SPA1,2016-06-30,Sweden,-
199321,RubÃ©n Blanco,Goalkeeper,1995-07-25,1.88,right,0.9,SPA1,2016-06-30,Spain,-
61546,Facundo Roncaglia,Centre-Back,1987-02-10,1.79,right,4.05,SPA1,2016-06-30,Argentina,Italy
92947,Sergi GÃ³mez,Centre-Back,1992-03-28,1.85,right,2.7,SPA1,2016-06-30,Spain,-
276111,David Costas,Centre-Back,1995-03-26,1.84,right,0.9,SPA1,2016-06-30,Spain,-
119905,Hugo Mallo,Right-Back,1991-06-22,1.74,right,5.4,SPA1,2016-06-30,Spain,-
168959,Nemanja Radoja,Defensive Midfield,1993-02-06,1.86,right,3.15,SPA1,2016-06-30,Serbia,-
252641,Pione Sisto,Left Winger,1995-02-04,1.72,right,3.15,SPA1,2016-06-30,Denmark,SouthernSudan
272679,JosÃ© Naranjo,Left Winger,1994-07-28,1.86,right,0.9,SPA1,2016-06-30,Spain,-
58818,Claudio Beauvue,Right Winger,1988-04-16,1.74,right,4.5,SPA1,2016-06-30,Guadeloupe,France
167798,Andrew Hjulsager,Right Winger,1995-01-15,1.75,both,0.54,SPA1,2016-06-30,Denmark,-
72047,Iago Aspas,Centre-Forward,1987-08-01,1.76,left,6.3,SPA1,2016-06-30,Spain,-
45912,Sergio Ãlvarez,Goalkeeper,1986-08-03,1.79,right,4.5,SPA1,2017-06-30,Spain,-
297194,IvÃ¡n Villar,Goalkeeper,1997-07-09,1.89,right,0.27,SPA1,2017-06-30,Spain,-
